mOTU2.0_cluster	mOTU2.0_cluster_name	mOTU2.0_cluster_id	Anaerobic	Aerotolerant	Facultative_aerobic	Microaerophilic	Aerobic
Clostridium sp. ATCC 29733 [ref_mOTU_v2_3613]	Clostridium sp. ATCC 29733 	ref_mOTU_v2_3613	1	0	0	0	0
Clostridium sp. BL8 [ref_mOTU_v2_3133]	Clostridium sp. BL8 	ref_mOTU_v2_3133	1	0	0	0	0
Clostridium sp. CAG:1000 [meta_mOTU_v2_6745]	Clostridium sp. CAG:1000 	meta_mOTU_v2_6745	1	0	0	0	0
Clostridium sp. CAG:1024 [meta_mOTU_v2_6786]	Clostridium sp. CAG:1024 	meta_mOTU_v2_6786	1	0	0	0	0
Clostridium sp. CAG:1024 [meta_mOTU_v2_7583]	Clostridium sp. CAG:1024 	meta_mOTU_v2_7583	1	0	0	0	0
Clostridium sp. CAG:1193 [meta_mOTU_v2_7613]	Clostridium sp. CAG:1193 	meta_mOTU_v2_7613	1	0	0	0	0
Clostridium sp. CAG:1193 [meta_mOTU_v2_7789]	Clostridium sp. CAG:1193 	meta_mOTU_v2_7789	1	0	0	0	0
Clostridium sp. CAG:1219 [meta_mOTU_v2_6476]	Clostridium sp. CAG:1219 	meta_mOTU_v2_6476	1	0	0	0	0
Clostridium sp. CAG:127 [meta_mOTU_v2_5364]	Clostridium sp. CAG:127 	meta_mOTU_v2_5364	1	0	0	0	0
Clostridium sp. CAG:138 [meta_mOTU_v2_7765]	Clostridium sp. CAG:138 	meta_mOTU_v2_7765	1	0	0	0	0
Clostridium sp. CAG:167 [meta_mOTU_v2_7056]	Clostridium sp. CAG:167 	meta_mOTU_v2_7056	1	0	0	0	0
Clostridium sp. CAG:217 [meta_mOTU_v2_7451]	Clostridium sp. CAG:217 	meta_mOTU_v2_7451	1	0	0	0	0
Clostridium sp. CAG:226 [meta_mOTU_v2_7187]	Clostridium sp. CAG:226 	meta_mOTU_v2_7187	1	0	0	0	0
Clostridium sp. CAG:230 [meta_mOTU_v2_7788]	Clostridium sp. CAG:230 	meta_mOTU_v2_7788	1	0	0	0	0
Clostridium sp. CAG:273 [meta_mOTU_v2_5681]	Clostridium sp. CAG:273 	meta_mOTU_v2_5681	1	0	0	0	0
Clostridium sp. CAG:273 [meta_mOTU_v2_7003]	Clostridium sp. CAG:273 	meta_mOTU_v2_7003	1	0	0	0	0
Clostridium sp. CAG:288 [meta_mOTU_v2_5776]	Clostridium sp. CAG:288 	meta_mOTU_v2_5776	1	0	0	0	0
Clostridium sp. CAG:288 [meta_mOTU_v2_6160]	Clostridium sp. CAG:288 	meta_mOTU_v2_6160	1	0	0	0	0
Clostridium sp. CAG:302 [meta_mOTU_v2_7183]	Clostridium sp. CAG:302 	meta_mOTU_v2_7183	1	0	0	0	0
Clostridium sp. CAG:306 [meta_mOTU_v2_5698]	Clostridium sp. CAG:306 	meta_mOTU_v2_5698	1	0	0	0	0
Clostridium sp. CAG:306 [meta_mOTU_v2_7759]	Clostridium sp. CAG:306 	meta_mOTU_v2_7759	1	0	0	0	0
Clostridium sp. CAG:343 [meta_mOTU_v2_6218]	Clostridium sp. CAG:343 	meta_mOTU_v2_6218	1	0	0	0	0
Clostridium sp. CAG:411 [meta_mOTU_v2_7074]	Clostridium sp. CAG:411 	meta_mOTU_v2_7074	1	0	0	0	0
Clostridium sp. CAG:413 [meta_mOTU_v2_7152]	Clostridium sp. CAG:413 	meta_mOTU_v2_7152	1	0	0	0	0
Clostridium sp. CAG:433 [meta_mOTU_v2_7638]	Clostridium sp. CAG:433 	meta_mOTU_v2_7638	1	0	0	0	0
Clostridium sp. CAG:440 [meta_mOTU_v2_5389]	Clostridium sp. CAG:440 	meta_mOTU_v2_5389	1	0	0	0	0
Clostridium sp. CAG:448 [meta_mOTU_v2_6055]	Clostridium sp. CAG:448 	meta_mOTU_v2_6055	1	0	0	0	0
Clostridium sp. CAG:448 [meta_mOTU_v2_7377]	Clostridium sp. CAG:448 	meta_mOTU_v2_7377	1	0	0	0	0
Clostridium sp. CAG:451 [meta_mOTU_v2_5908]	Clostridium sp. CAG:451 	meta_mOTU_v2_5908	1	0	0	0	0
Clostridium sp. CAG:451 [meta_mOTU_v2_7262]	Clostridium sp. CAG:451 	meta_mOTU_v2_7262	1	0	0	0	0
Clostridium sp. CAG:452 [meta_mOTU_v2_7118]	Clostridium sp. CAG:452 	meta_mOTU_v2_7118	1	0	0	0	0
Clostridium sp. CAG:465 [meta_mOTU_v2_6001]	Clostridium sp. CAG:465 	meta_mOTU_v2_6001	1	0	0	0	0
Clostridium sp. CAG:492 [meta_mOTU_v2_7568]	Clostridium sp. CAG:492 	meta_mOTU_v2_7568	1	0	0	0	0
Clostridium sp. CAG:510 [meta_mOTU_v2_6178]	Clostridium sp. CAG:510 	meta_mOTU_v2_6178	1	0	0	0	0
Clostridium sp. CAG:524 [meta_mOTU_v2_5874]	Clostridium sp. CAG:524 	meta_mOTU_v2_5874	1	0	0	0	0
Clostridium sp. CAG:533 [meta_mOTU_v2_6119]	Clostridium sp. CAG:533 	meta_mOTU_v2_6119	1	0	0	0	0
Clostridium sp. CAG:533 [meta_mOTU_v2_6224]	Clostridium sp. CAG:533 	meta_mOTU_v2_6224	1	0	0	0	0
Clostridium sp. CAG:533 [meta_mOTU_v2_7701]	Clostridium sp. CAG:533 	meta_mOTU_v2_7701	1	0	0	0	0
Clostridium sp. CAG:557 [meta_mOTU_v2_7575]	Clostridium sp. CAG:557 	meta_mOTU_v2_7575	1	0	0	0	0
Clostridium sp. CAG:568 [meta_mOTU_v2_5729]	Clostridium sp. CAG:568 	meta_mOTU_v2_5729	1	0	0	0	0
Clostridium sp. CAG:571 [meta_mOTU_v2_5498]	Clostridium sp. CAG:571 	meta_mOTU_v2_5498	1	0	0	0	0
Clostridium sp. CAG:590 [meta_mOTU_v2_5713]	Clostridium sp. CAG:590 	meta_mOTU_v2_5713	1	0	0	0	0
Clostridium sp. CAG:594 [meta_mOTU_v2_5501]	Clostridium sp. CAG:594 	meta_mOTU_v2_5501	1	0	0	0	0
Clostridium sp. CAG:609 [meta_mOTU_v2_6466]	Clostridium sp. CAG:609 	meta_mOTU_v2_6466	1	0	0	0	0
Clostridium sp. CAG:628 [meta_mOTU_v2_6559]	Clostridium sp. CAG:628 	meta_mOTU_v2_6559	1	0	0	0	0
Clostridium sp. CAG:628 [meta_mOTU_v2_6892]	Clostridium sp. CAG:628 	meta_mOTU_v2_6892	1	0	0	0	0
Clostridium sp. CAG:632 [meta_mOTU_v2_6863]	Clostridium sp. CAG:632 	meta_mOTU_v2_6863	1	0	0	0	0
Clostridium sp. CAG:678 [meta_mOTU_v2_7690]	Clostridium sp. CAG:678 	meta_mOTU_v2_7690	1	0	0	0	0
Clostridium sp. CAG:710 [meta_mOTU_v2_6788]	Clostridium sp. CAG:710 	meta_mOTU_v2_6788	1	0	0	0	0
Clostridium sp. CAG:762 [meta_mOTU_v2_6648]	Clostridium sp. CAG:762 	meta_mOTU_v2_6648	1	0	0	0	0
Clostridium sp. CAG:762 [meta_mOTU_v2_6739]	Clostridium sp. CAG:762 	meta_mOTU_v2_6739	1	0	0	0	0
Clostridium sp. CAG:780 [meta_mOTU_v2_5914]	Clostridium sp. CAG:780 	meta_mOTU_v2_5914	1	0	0	0	0
Clostridium sp. CAG:793 [meta_mOTU_v2_5464]	Clostridium sp. CAG:793 	meta_mOTU_v2_5464	1	0	0	0	0
Clostridium sp. CAG:798 [meta_mOTU_v2_6742]	Clostridium sp. CAG:798 	meta_mOTU_v2_6742	1	0	0	0	0
Clostridium sp. CAG:798 [meta_mOTU_v2_7020]	Clostridium sp. CAG:798 	meta_mOTU_v2_7020	1	0	0	0	0
Clostridium sp. CAG:914 [meta_mOTU_v2_6776]	Clostridium sp. CAG:914 	meta_mOTU_v2_6776	1	0	0	0	0
Clostridium sp. CAG:921 [meta_mOTU_v2_5761]	Clostridium sp. CAG:921 	meta_mOTU_v2_5761	1	0	0	0	0
Clostridium sp. CAG:964 [meta_mOTU_v2_6131]	Clostridium sp. CAG:964 	meta_mOTU_v2_6131	1	0	0	0	0
Clostridium sp. CL-2 [ref_mOTU_v2_3582]	Clostridium sp. CL-2 	ref_mOTU_v2_3582	1	0	0	0	0
Clostridium sp. CL-6 [ref_mOTU_v2_3581]	Clostridium sp. CL-6 	ref_mOTU_v2_3581	1	0	0	0	0
Clostridium sp. D5 [ref_mOTU_v2_4498]	Clostridium sp. D5 	ref_mOTU_v2_4498	1	0	0	0	0
Clostridium sp. DL-VIII [ref_mOTU_v2_4668]	Clostridium sp. DL-VIII 	ref_mOTU_v2_4668	1	0	0	0	0
Clostridium sp. HMP27 [ref_mOTU_v2_3564]	Clostridium sp. HMP27 	ref_mOTU_v2_3564	1	0	0	0	0
Clostridium sp. JCC [ref_mOTU_v2_3353]	Clostridium sp. JCC 	ref_mOTU_v2_3353	1	0	0	0	0
Clostridium sp. KLE 1755 [ref_mOTU_v2_0860]	Clostridium sp. KLE 1755 	ref_mOTU_v2_0860	1	0	0	0	0
Clostridium sp. KNHs205 [ref_mOTU_v2_3442]	Clostridium sp. KNHs205 	ref_mOTU_v2_3442	1	0	0	0	0
Clostridium sp. KNHs209 [ref_mOTU_v2_3538]	Clostridium sp. KNHs209 	ref_mOTU_v2_3538	1	0	0	0	0
Clostridium sp. KNHs214 [ref_mOTU_v2_3660]	Clostridium sp. KNHs214 	ref_mOTU_v2_3660	1	0	0	0	0
Clostridium sp. L2-50 [ref_mOTU_v2_4212]	Clostridium sp. L2-50 	ref_mOTU_v2_4212	1	0	0	0	0
Clostridium sp. LF2 [ref_mOTU_v2_3585]	Clostridium sp. LF2 	ref_mOTU_v2_3585	1	0	0	0	0
Clostridium sp. Maddingley MBC34-26 [ref_mOTU_v2_2475]	Clostridium sp. Maddingley MBC34-26 	ref_mOTU_v2_2475	1	0	0	0	0
Clostridium sp. SY8519 [ref_mOTU_v2_1643]	Clostridium sp. SY8519 	ref_mOTU_v2_1643	1	0	0	0	0
Clostridium spiroforme [ref_mOTU_v2_4235]	Clostridium spiroforme 	ref_mOTU_v2_4235	1	0	0	0	0
Clostridium sporosphaeroides [ref_mOTU_v2_1909]	Clostridium sporosphaeroides 	ref_mOTU_v2_1909	1	0	0	0	0
Clostridium stercorarium [ref_mOTU_v2_0474]	Clostridium stercorarium 	ref_mOTU_v2_0474	1	0	0	0	0
Clostridium sticklandii [ref_mOTU_v2_3616]	Clostridium sticklandii 	ref_mOTU_v2_3616	1	0	0	0	0
Clostridium straminisolvens [ref_mOTU_v2_2956]	Clostridium straminisolvens 	ref_mOTU_v2_2956	1	0	0	0	0
Clostridium sulfidigenes [ref_mOTU_v2_3986]	Clostridium sulfidigenes 	ref_mOTU_v2_3986	1	0	0	0	0
Clostridium symbiosum [ref_mOTU_v2_1475]	Clostridium symbiosum 	ref_mOTU_v2_1475	1	0	0	0	0
Clostridium termitidis [ref_mOTU_v2_2468]	Clostridium termitidis 	ref_mOTU_v2_2468	1	0	0	0	0
Clostridium tetani [ref_mOTU_v2_0710]	Clostridium tetani 	ref_mOTU_v2_0710	1	0	0	0	0
Clostridium tetanomorphum [ref_mOTU_v2_2663]	Clostridium tetanomorphum 	ref_mOTU_v2_2663	1	0	0	0	0
Clostridium tyrobutyricum [ref_mOTU_v2_0475]	Clostridium tyrobutyricum 	ref_mOTU_v2_0475	1	0	0	0	0
Clostridium ultunense [ref_mOTU_v2_5028]	Clostridium ultunense 	ref_mOTU_v2_5028	1	0	0	0	0
Clostridium viride [ref_mOTU_v2_1910]	Clostridium viride 	ref_mOTU_v2_1910	1	0	0	0	0
Cobetia crustatorum [ref_mOTU_v2_4490]	Cobetia crustatorum 	ref_mOTU_v2_4490	0	0	0	0	1
Cobetia marina [ref_mOTU_v2_3887]	Cobetia marina 	ref_mOTU_v2_3887	0	0	0	0	0
Cohnella laeviribosi [ref_mOTU_v2_1911]	Cohnella laeviribosi 	ref_mOTU_v2_1911	0	0	0	0	0
Cohnella panacarvi [ref_mOTU_v2_5261]	Cohnella panacarvi 	ref_mOTU_v2_5261	0	0	0	0	1
Coleofasciculus chthonoplastes [ref_mOTU_v2_2430]	Coleofasciculus chthonoplastes 	ref_mOTU_v2_2430	0	0	0	0	0
Colibacter massiliensis [meta_mOTU_v2_7460]	Colibacter massiliensis 	meta_mOTU_v2_7460	#N/A	#N/A	#N/A	#N/A	#N/A
Collimonas arenae [ref_mOTU_v2_3880]	Collimonas arenae 	ref_mOTU_v2_3880	0	0	0	0	1
Collimonas fungivorans [ref_mOTU_v2_1557]	Collimonas fungivorans 	ref_mOTU_v2_1557	0	0	0	0	1
Collinsella aerofaciens [ref_mOTU_v2_1383]	Collinsella aerofaciens 	ref_mOTU_v2_1383	1	0	0	0	0
Collinsella intestinalis [ref_mOTU_v2_4400]	Collinsella intestinalis 	ref_mOTU_v2_4400	1	0	0	0	0
Collinsella stercoris [ref_mOTU_v2_4269]	Collinsella stercoris 	ref_mOTU_v2_4269	1	0	0	0	0
Collinsella tanakaei [ref_mOTU_v2_4884]	Collinsella tanakaei 	ref_mOTU_v2_4884	0	0	0	0	0
Colwellia piezophila [ref_mOTU_v2_2812]	Colwellia piezophila 	ref_mOTU_v2_2812	0	0	1	0	0
Colwellia psychrerythraea [ref_mOTU_v2_3706]	Colwellia psychrerythraea 	ref_mOTU_v2_3706	0	0	1	0	0
Colwellia psychrerythraea [ref_mOTU_v2_3885]	Colwellia psychrerythraea 	ref_mOTU_v2_3885	0	0	1	0	0
Colwellia psychrerythraea [ref_mOTU_v2_3886]	Colwellia psychrerythraea 	ref_mOTU_v2_3886	0	0	1	0	0
Comamonadaceae bacterium H1 [ref_mOTU_v2_3496]	Comamonadaceae bacterium H1 	ref_mOTU_v2_3496	0	0	0	1	0
Comamonas aquatica [ref_mOTU_v2_0840]	Comamonas aquatica 	ref_mOTU_v2_0840	0	0	0	0	1
Comamonas badia [ref_mOTU_v2_1912]	Comamonas badia 	ref_mOTU_v2_1912	0	0	0	0	1
Comamonas composti [ref_mOTU_v2_1913]	Comamonas composti 	ref_mOTU_v2_1913	0	0	0	0	1
Comamonas granuli [ref_mOTU_v2_2606]	Comamonas granuli 	ref_mOTU_v2_2606	0	0	0	0	1
Comamonas testosteroni [ref_mOTU_v2_0100]	Comamonas testosteroni 	ref_mOTU_v2_0100	0	0	0	0	1
Commensalibacter intestini [ref_mOTU_v2_1723]	Commensalibacter intestini 	ref_mOTU_v2_1723	0	0	0	0	0
Commensalibacter sp. MX01 [ref_mOTU_v2_2538]	Commensalibacter sp. MX01 	ref_mOTU_v2_2538	0	0	0	0	0
Conchiformibius kuhniae [ref_mOTU_v2_1914]	Conchiformibius kuhniae 	ref_mOTU_v2_1914	0	0	0	0	0
Conchiformibius steedae [ref_mOTU_v2_1915]	Conchiformibius steedae 	ref_mOTU_v2_1915	0	0	0	0	0
Conexibacter woesei [ref_mOTU_v2_2916]	Conexibacter woesei 	ref_mOTU_v2_2916	0	0	0	0	0
Conexibacter woesei [ref_mOTU_v2_4309]	Conexibacter woesei 	ref_mOTU_v2_4309	0	0	0	0	1
Congregibacter litoralis [ref_mOTU_v2_3961]	Congregibacter litoralis 	ref_mOTU_v2_3961	0	0	0	0	0
Coprobacillus sp. [ref_mOTU_v2_1401]	Coprobacillus sp. 	ref_mOTU_v2_1401	1	0	0	0	0
Coprobacillus sp. CAG:605 [meta_mOTU_v2_7625]	Coprobacillus sp. CAG:605 	meta_mOTU_v2_7625	#N/A	#N/A	#N/A	#N/A	#N/A
Coprobacillus sp. CAG:698 [meta_mOTU_v2_7714]	Coprobacillus sp. CAG:698 	meta_mOTU_v2_7714	#N/A	#N/A	#N/A	#N/A	#N/A
Coprobacillus sp. CAG:826 [meta_mOTU_v2_6390]	Coprobacillus sp. CAG:826 	meta_mOTU_v2_6390	#N/A	#N/A	#N/A	#N/A	#N/A
Coprobacillus sp. CAG:826 [meta_mOTU_v2_6536]	Coprobacillus sp. CAG:826 	meta_mOTU_v2_6536	#N/A	#N/A	#N/A	#N/A	#N/A
Coprococcus catus [ref_mOTU_v2_4874]	Coprococcus catus 	ref_mOTU_v2_4874	1	0	0	0	0
Coprococcus comes [ref_mOTU_v2_4313]	Coprococcus comes 	ref_mOTU_v2_4313	1	0	0	0	0
Coprococcus eutactus [ref_mOTU_v2_4210]	Coprococcus eutactus 	ref_mOTU_v2_4210	1	0	0	0	0
Coprococcus sp. [ref_mOTU_v2_0303]	Coprococcus sp. 	ref_mOTU_v2_0303	1	0	0	0	0
Coprothermobacter platensis [ref_mOTU_v2_2797]	Coprothermobacter platensis 	ref_mOTU_v2_2797	1	0	0	0	0
Coprothermobacter proteolyticus [ref_mOTU_v2_3926]	Coprothermobacter proteolyticus 	ref_mOTU_v2_3926	1	0	0	0	0
Coraliomargarita akajimensis [ref_mOTU_v2_4567]	Coraliomargarita akajimensis 	ref_mOTU_v2_4567	0	0	0	0	1
Coraliomargarita sp. CAG:312 [meta_mOTU_v2_5659]	Coraliomargarita sp. CAG:312 	meta_mOTU_v2_5659	#N/A	#N/A	#N/A	#N/A	#N/A
Coraliomargarita sp. CAG:312 [meta_mOTU_v2_6770]	Coraliomargarita sp. CAG:312 	meta_mOTU_v2_6770	#N/A	#N/A	#N/A	#N/A	#N/A
Coraliomargarita sp. CAG:312 [meta_mOTU_v2_7055]	Coraliomargarita sp. CAG:312 	meta_mOTU_v2_7055	#N/A	#N/A	#N/A	#N/A	#N/A
Corallococcus coralloides [ref_mOTU_v2_2293]	Corallococcus coralloides 	ref_mOTU_v2_2293	0	0	0	0	0
Corallococcus sp. CAG:1435 [meta_mOTU_v2_7245]	Corallococcus sp. CAG:1435 	meta_mOTU_v2_7245	#N/A	#N/A	#N/A	#N/A	#N/A
Coriobacteriaceae sp. [ref_mOTU_v2_0881]	Coriobacteriaceae sp. 	ref_mOTU_v2_0881	0	0	0	0	0
Coriobacteriaceae sp. [ref_mOTU_v2_1786]	Coriobacteriaceae sp. 	ref_mOTU_v2_1786	0	0	0	0	0
Coriobacteriales bacterium DNF00809 [meta_mOTU_v2_6473]	Coriobacteriales bacterium DNF00809 	meta_mOTU_v2_6473	#N/A	#N/A	#N/A	#N/A	#N/A
Coriobacterium glomerans [ref_mOTU_v2_4833]	Coriobacterium glomerans 	ref_mOTU_v2_4833	1	0	0	0	0
Corynebacterium accolens [ref_mOTU_v2_0770]	Corynebacterium accolens 	ref_mOTU_v2_0770	1	0	0	0	0
Corynebacterium ammoniagenes [ref_mOTU_v2_4707]	Corynebacterium ammoniagenes 	ref_mOTU_v2_4707	1	0	0	0	0
Corynebacterium amycolatum [ref_mOTU_v2_0305]	Corynebacterium amycolatum 	ref_mOTU_v2_0305	0	0	0	0	1
Corynebacterium argentoratense [ref_mOTU_v2_3119]	Corynebacterium argentoratense 	ref_mOTU_v2_3119	0	0	0	0	1
Corynebacterium atypicum [ref_mOTU_v2_3737]	Corynebacterium atypicum 	ref_mOTU_v2_3737	0	0	1	0	0
Corynebacterium aurimucosum [ref_mOTU_v2_1434]	Corynebacterium aurimucosum 	ref_mOTU_v2_1434	0	0	1	0	0
Corynebacterium callunae [ref_mOTU_v2_0476]	Corynebacterium callunae 	ref_mOTU_v2_0476	0	0	0	0	1
Corynebacterium camporealensis [ref_mOTU_v2_3699]	Corynebacterium camporealensis 	ref_mOTU_v2_3699	0	0	0	0	1
Corynebacterium capitovis [ref_mOTU_v2_1916]	Corynebacterium capitovis 	ref_mOTU_v2_1916	1	0	0	0	0
Corynebacterium casei [ref_mOTU_v2_0386]	Corynebacterium casei 	ref_mOTU_v2_0386	0	0	1	0	0
Corynebacterium caspium [ref_mOTU_v2_1917]	Corynebacterium caspium 	ref_mOTU_v2_1917	0	0	1	0	0
Corynebacterium ciconiae [ref_mOTU_v2_1918]	Corynebacterium ciconiae 	ref_mOTU_v2_1918	1	0	0	0	0
Corynebacterium crenatum/glutamicum [ref_mOTU_v2_0292]	Corynebacterium crenatum/glutamicum 	ref_mOTU_v2_0292	0	0	1	0	0
Corynebacterium diphtheriae [ref_mOTU_v2_0689]	Corynebacterium diphtheriae 	ref_mOTU_v2_0689	0	0	0	0	1
Corynebacterium doosanense [ref_mOTU_v2_1441]	Corynebacterium doosanense 	ref_mOTU_v2_1441	0	0	1	0	0
Corynebacterium durum [ref_mOTU_v2_1615]	Corynebacterium durum 	ref_mOTU_v2_1615	0	0	0	0	1
Corynebacterium efficiens [ref_mOTU_v2_1291]	Corynebacterium efficiens 	ref_mOTU_v2_1291	0	0	1	0	0
Corynebacterium falsenii [ref_mOTU_v2_3470]	Corynebacterium falsenii 	ref_mOTU_v2_3470	0	0	1	0	0
Corynebacterium freiburgense [ref_mOTU_v2_1919]	Corynebacterium freiburgense 	ref_mOTU_v2_1919	0	0	1	0	0
Corynebacterium freneyi [ref_mOTU_v2_2934]	Corynebacterium freneyi 	ref_mOTU_v2_2934	0	0	0	0	1
Corynebacterium genitalium [ref_mOTU_v2_4579]	Corynebacterium genitalium 	ref_mOTU_v2_4579	0	0	1	0	0
Corynebacterium glucuronolyticum [ref_mOTU_v2_1435]	Corynebacterium glucuronolyticum 	ref_mOTU_v2_1435	0	0	1	0	0
Corynebacterium glyciniphilum [ref_mOTU_v2_3272]	Corynebacterium glyciniphilum 	ref_mOTU_v2_3272	0	0	0	0	1
Corynebacterium halotolerans [ref_mOTU_v2_0477]	Corynebacterium halotolerans 	ref_mOTU_v2_0477	0	0	0	0	1
Corynebacterium imitans [ref_mOTU_v2_3685]	Corynebacterium imitans 	ref_mOTU_v2_3685	0	0	0	0	1
Corynebacterium jeikeium [ref_mOTU_v2_1336]	Corynebacterium jeikeium 	ref_mOTU_v2_1336	0	0	1	0	0
Corynebacterium jeikeium [ref_mOTU_v2_4111]	Corynebacterium jeikeium 	ref_mOTU_v2_4111	0	0	0	0	1
Corynebacterium kroppenstedtii [ref_mOTU_v2_4694]	Corynebacterium kroppenstedtii 	ref_mOTU_v2_4694	0	0	1	0	0
Corynebacterium lipophiloflavum [ref_mOTU_v2_4421]	Corynebacterium lipophiloflavum 	ref_mOTU_v2_4421	0	0	0	0	1
Corynebacterium lubricantis [ref_mOTU_v2_1920]	Corynebacterium lubricantis 	ref_mOTU_v2_1920	0	0	0	0	1
Corynebacterium maris [ref_mOTU_v2_2613]	Corynebacterium maris 	ref_mOTU_v2_2613	0	0	0	0	1
Corynebacterium massiliense [ref_mOTU_v2_1921]	Corynebacterium massiliense 	ref_mOTU_v2_1921	0	0	0	0	1
Corynebacterium mastitidis [ref_mOTU_v2_1922]	Corynebacterium mastitidis 	ref_mOTU_v2_1922	0	0	0	0	1
Corynebacterium matruchotii [ref_mOTU_v2_1439]	Corynebacterium matruchotii 	ref_mOTU_v2_1439	0	0	0	0	1
Corynebacterium nuruki [ref_mOTU_v2_5019]	Corynebacterium nuruki 	ref_mOTU_v2_5019	0	0	0	0	1
Corynebacterium pilosum [ref_mOTU_v2_1923]	Corynebacterium pilosum 	ref_mOTU_v2_1923	0	0	0	0	1
Corynebacterium propinquum [ref_mOTU_v2_1924]	Corynebacterium propinquum 	ref_mOTU_v2_1924	0	0	0	0	1
Corynebacterium pseudodiphtheriticum [ref_mOTU_v2_0478]	Corynebacterium pseudodiphtheriticum 	ref_mOTU_v2_0478	0	0	0	0	1
Corynebacterium pseudogenitalium/tuberculostearicum [ref_mOTU_v2_1422]	Corynebacterium pseudogenitalium/tuberculostearicum 	ref_mOTU_v2_1422	1	0	0	0	0
Corynebacterium pseudotuberculosis [ref_mOTU_v2_0290]	Corynebacterium pseudotuberculosis 	ref_mOTU_v2_0290	0	0	1	0	0
Corynebacterium pyruviciproducens [ref_mOTU_v2_2235]	Corynebacterium pyruviciproducens 	ref_mOTU_v2_2235	0	0	0	0	1
Corynebacterium resistens [ref_mOTU_v2_4730]	Corynebacterium resistens 	ref_mOTU_v2_4730	0	0	0	0	1
Corynebacterium sp. GD7 [ref_mOTU_v2_2683]	Corynebacterium sp. GD7 	ref_mOTU_v2_2683	0	0	0	0	1
Corynebacterium sp. JCB [ref_mOTU_v2_3352]	Corynebacterium sp. JCB 	ref_mOTU_v2_3352	0	0	0	0	1
Corynebacterium sp. KPL1859 [ref_mOTU_v2_0768]	Corynebacterium sp. KPL1859 	ref_mOTU_v2_0768	0	0	0	0	1
Corynebacterium sp. KPL1860 [ref_mOTU_v2_0769]	Corynebacterium sp. KPL1860 	ref_mOTU_v2_0769	0	0	0	0	1
Corynebacterium sputi [ref_mOTU_v2_1791]	Corynebacterium sputi 	ref_mOTU_v2_1791	1	0	0	0	0
Corynebacterium striatum [ref_mOTU_v2_4422]	Corynebacterium striatum 	ref_mOTU_v2_4422	1	0	0	0	0
Corynebacterium terpenotabidum [ref_mOTU_v2_2490]	Corynebacterium terpenotabidum 	ref_mOTU_v2_2490	0	0	0	0	1
Corynebacterium timonense [ref_mOTU_v2_2504]	Corynebacterium timonense 	ref_mOTU_v2_2504	0	0	0	0	1
Corynebacterium tuscaniense [ref_mOTU_v2_3262]	Corynebacterium tuscaniense 	ref_mOTU_v2_3262	0	0	0	0	1
Corynebacterium ulcerans [ref_mOTU_v2_0081]	Corynebacterium ulcerans 	ref_mOTU_v2_0081	0	0	1	0	0
Corynebacterium ulceribovis [ref_mOTU_v2_1925]	Corynebacterium ulceribovis 	ref_mOTU_v2_1925	1	0	0	0	0
Corynebacterium urealyticum [ref_mOTU_v2_0960]	Corynebacterium urealyticum 	ref_mOTU_v2_0960	0	0	0	0	1
Corynebacterium ureicelerivorans [ref_mOTU_v2_4187]	Corynebacterium ureicelerivorans 	ref_mOTU_v2_4187	0	0	1	0	0
Corynebacterium variabile [ref_mOTU_v2_3712]	Corynebacterium variabile 	ref_mOTU_v2_3712	0	0	0	0	1
Corynebacterium variabile [ref_mOTU_v2_5004]	Corynebacterium variabile 	ref_mOTU_v2_5004	0	0	0	0	1
Corynebacterium vitaeruminis [ref_mOTU_v2_0855]	Corynebacterium vitaeruminis 	ref_mOTU_v2_0855	0	0	1	0	0
Coxiella burnetii [ref_mOTU_v2_0753]	Coxiella burnetii 	ref_mOTU_v2_0753	0	0	1	0	0
Crenarchaeota sp. [ref_mOTU_v2_0231]	Crenarchaeota sp. 	ref_mOTU_v2_0231	0	0	0	0	0
Criblamydia sequanensis [ref_mOTU_v2_3407]	Criblamydia sequanensis 	ref_mOTU_v2_3407	0	0	0	0	0
Crinalium epipsammum [ref_mOTU_v2_2394]	Crinalium epipsammum 	ref_mOTU_v2_2394	0	0	0	0	0
Croceibacter atlanticus [ref_mOTU_v2_3777]	Croceibacter atlanticus 	ref_mOTU_v2_3777	0	0	0	0	1
Croceicoccus marinus [meta_mOTU_v2_6320]	Croceicoccus marinus 	meta_mOTU_v2_6320	#N/A	#N/A	#N/A	#N/A	#N/A
Crocinitomix catalasitica [ref_mOTU_v2_3304]	Crocinitomix catalasitica 	ref_mOTU_v2_3304	0	0	0	0	0
Cronobacter condimenti [ref_mOTU_v2_1697]	Cronobacter condimenti 	ref_mOTU_v2_1697	0	0	1	0	0
Cronobacter dublinensis [ref_mOTU_v2_0685]	Cronobacter dublinensis 	ref_mOTU_v2_0685	0	0	1	0	0
Cronobacter muytjensii [ref_mOTU_v2_2353]	Cronobacter muytjensii 	ref_mOTU_v2_2353	0	0	1	0	0
Cronobacter sp. [ref_mOTU_v2_0193]	Cronobacter sp. 	ref_mOTU_v2_0193	1	0	0	0	0
Cryobacterium roopkundense [ref_mOTU_v2_1547]	Cryobacterium roopkundense 	ref_mOTU_v2_1547	0	0	0	0	1
Cryptobacterium curtum [ref_mOTU_v2_4307]	Cryptobacterium curtum 	ref_mOTU_v2_4307	1	0	0	0	0
