mOTU_ID,mOTU_name
ref_mOTU_v2_4216,Halorubrum halophilum [ref_mOTU_v2_4216]
ref_mOTU_v2_0870,Halorubrum hochstenium/tebenquichense [ref_mOTU_v2_0870]
ref_mOTU_v2_2667,Halorubrum kocurii [ref_mOTU_v2_2667]
ref_mOTU_v2_4221,Halorubrum lacusprofundi [ref_mOTU_v2_4221]
ref_mOTU_v2_2632,Halorubrum lipolyticum [ref_mOTU_v2_2632]
ref_mOTU_v2_2633,Halorubrum saccharovorum [ref_mOTU_v2_2633]
ref_mOTU_v2_3577,Halorubrum sp. BV1 [ref_mOTU_v2_3577]
ref_mOTU_v2_2465,Halorubrum sp. T3 [ref_mOTU_v2_2465]
ref_mOTU_v2_0869,Halorubrum sp. [ref_mOTU_v2_0869]
ref_mOTU_v2_4980,Halosimplex carlsbadense [ref_mOTU_v2_4980]
ref_mOTU_v2_4982,Halostagnicola larsenii [ref_mOTU_v2_4982]
ref_mOTU_v2_2668,Haloterrigena limicola [ref_mOTU_v2_2668]
ref_mOTU_v2_2635,Haloterrigena salina [ref_mOTU_v2_2635]
ref_mOTU_v2_4451,Haloterrigena turkmenica [ref_mOTU_v2_4451]
ref_mOTU_v2_4709,Halothece sp. PCC 7418 [ref_mOTU_v2_4709]
ref_mOTU_v2_4092,Halothermothrix orenii [ref_mOTU_v2_4092]
ref_mOTU_v2_4495,Halothiobacillus neapolitanus [ref_mOTU_v2_4495]
ref_mOTU_v2_2636,Halovivax asiaticus [ref_mOTU_v2_2636]
ref_mOTU_v2_4983,Halovivax ruber [ref_mOTU_v2_4983]
ref_mOTU_v2_2005,Hamadaea tsunoensis [ref_mOTU_v2_2005]
ref_mOTU_v2_5093,Helcococcus kunzii [ref_mOTU_v2_5093]
ref_mOTU_v2_2006,Helcococcus sueciensis [ref_mOTU_v2_2006]
ref_mOTU_v2_4110,Helicobacter acinonychis [ref_mOTU_v2_4110]
ref_mOTU_v2_0903,Helicobacter bilis [ref_mOTU_v2_0903]
ref_mOTU_v2_1553,Helicobacter bizzozeronii [ref_mOTU_v2_1553]
ref_mOTU_v2_1429,Helicobacter canadensis [ref_mOTU_v2_1429]
ref_mOTU_v2_3139,Helicobacter canis [ref_mOTU_v2_3139]
ref_mOTU_v2_2370,Helicobacter cetorum [ref_mOTU_v2_2370]
ref_mOTU_v2_3722,Helicobacter cetorum [ref_mOTU_v2_3722]
ref_mOTU_v2_0712,Helicobacter cinaedi [ref_mOTU_v2_0712]
ref_mOTU_v2_5208,Helicobacter felis [ref_mOTU_v2_5208]
ref_mOTU_v2_3052,Helicobacter fennelliae [ref_mOTU_v2_3052]
ref_mOTU_v2_2572,Helicobacter heilmannii [ref_mOTU_v2_2572]
ref_mOTU_v2_1274,Helicobacter hepaticus [ref_mOTU_v2_1274]
ref_mOTU_v2_3140,Helicobacter macacae [ref_mOTU_v2_3140]
ref_mOTU_v2_3774,Helicobacter muridarum [ref_mOTU_v2_3774]
ref_mOTU_v2_4777,Helicobacter mustelae [ref_mOTU_v2_4777]
ref_mOTU_v2_3310,Helicobacter pametensis [ref_mOTU_v2_3310]
ref_mOTU_v2_4450,Helicobacter pullorum [ref_mOTU_v2_4450]
ref_mOTU_v2_0108,Helicobacter pylori [ref_mOTU_v2_0108]
ref_mOTU_v2_0109,Helicobacter pylori [ref_mOTU_v2_0109]
ref_mOTU_v2_0110,Helicobacter pylori [ref_mOTU_v2_0110]
ref_mOTU_v2_0111,Helicobacter pylori [ref_mOTU_v2_0111]
ref_mOTU_v2_1084,Helicobacter pylori [ref_mOTU_v2_1084]
ref_mOTU_v2_3458,Helicobacter rodentium [ref_mOTU_v2_3458]
ref_mOTU_v2_3671,Helicobacter saguini [ref_mOTU_v2_3671]
ref_mOTU_v2_4231,Helicobacter sp. MIT 01-6451 [ref_mOTU_v2_4231]
ref_mOTU_v2_3672,Helicobacter sp. MIT 05-5293 [ref_mOTU_v2_3672]
ref_mOTU_v2_3674,Helicobacter sp. MIT 09-6949 [ref_mOTU_v2_3674]
ref_mOTU_v2_3673,Helicobacter sp. MIT 11-5569 [ref_mOTU_v2_3673]
ref_mOTU_v2_4848,Helicobacter suis [ref_mOTU_v2_4848]
ref_mOTU_v2_4379,Helicobacter trogontum [ref_mOTU_v2_4379]
ref_mOTU_v2_1275,Helicobacter typhlonius [ref_mOTU_v2_1275]
ref_mOTU_v2_4499,Helicobacter winghamensis [ref_mOTU_v2_4499]
ref_mOTU_v2_4363,Heliobacterium modesticaldum [ref_mOTU_v2_4363]
meta_mOTU_v2_7303,Hellea balneolensis [meta_mOTU_v2_7303]
ref_mOTU_v2_2007,Hellea balneolensis [ref_mOTU_v2_2007]
ref_mOTU_v2_2008,Henriciella marina [ref_mOTU_v2_2008]
ref_mOTU_v2_5023,Herbaspirillum frisingense [ref_mOTU_v2_5023]
ref_mOTU_v2_0718,Herbaspirillum huttiense [ref_mOTU_v2_0718]
ref_mOTU_v2_1754,Herbaspirillum massiliense [ref_mOTU_v2_1754]
ref_mOTU_v2_0896,Herbaspirillum rubrisubalbicans [ref_mOTU_v2_0896]
ref_mOTU_v2_4928,Herbaspirillum seropedicae [ref_mOTU_v2_4928]
ref_mOTU_v2_2303,Herbaspirillum sp. CF444 [ref_mOTU_v2_2303]
ref_mOTU_v2_3425,Herbaspirillum sp. RV1423 [ref_mOTU_v2_3425]
ref_mOTU_v2_2306,Herbaspirillum sp. YR522 [ref_mOTU_v2_2306]
ref_mOTU_v2_3888,Herbidospora cretacea [ref_mOTU_v2_3888]
ref_mOTU_v2_3762,Herminiimonas arsenicoxydans [ref_mOTU_v2_3762]
ref_mOTU_v2_3974,Herpetosiphon aurantiacus [ref_mOTU_v2_3974]
ref_mOTU_v2_5241,Hippea alviniae [ref_mOTU_v2_5241]
ref_mOTU_v2_5240,Hippea jasoniae [ref_mOTU_v2_5240]
ref_mOTU_v2_4932,Hippea maritima [ref_mOTU_v2_4932]
ref_mOTU_v2_5242,Hippea sp. KM1 [ref_mOTU_v2_5242]
ref_mOTU_v2_4562,Hirschia baltica [ref_mOTU_v2_4562]
ref_mOTU_v2_4477,Hirschia maritima [ref_mOTU_v2_4477]
ref_mOTU_v2_1292,Histophilus somni [ref_mOTU_v2_1292]
ref_mOTU_v2_4213,Hoeflea phototrophica [ref_mOTU_v2_4213]
ref_mOTU_v2_1810,Hoeflea sp. 108 [ref_mOTU_v2_1810]
meta_mOTU_v2_6468,Holdemanella biformis [meta_mOTU_v2_6468]
meta_mOTU_v2_7329,Holdemanella biformis [meta_mOTU_v2_7329]
meta_mOTU_v2_7589,Holdemanella biformis [meta_mOTU_v2_7589]
meta_mOTU_v2_7667,Holdemanella biformis [meta_mOTU_v2_7667]
ref_mOTU_v2_4395,Holdemanella biformis [ref_mOTU_v2_4395]
ref_mOTU_v2_4459,Holdemania filiformis [ref_mOTU_v2_4459]
ref_mOTU_v2_2557,Holdemania massiliensis [ref_mOTU_v2_2557]
ref_mOTU_v2_5123,Holophaga foetida [ref_mOTU_v2_5123]
ref_mOTU_v2_1053,Holospora elegans/undulata [ref_mOTU_v2_1053]
ref_mOTU_v2_3253,Holospora obtusa [ref_mOTU_v2_3253]
ref_mOTU_v2_4258,Hoyosella subflava [ref_mOTU_v2_4258]
ref_mOTU_v2_2009,Humibacter albus [ref_mOTU_v2_2009]
ref_mOTU_v2_0882,Hungatella hathewayi [ref_mOTU_v2_0882]
ref_mOTU_v2_4883,Hungatella hathewayi [ref_mOTU_v2_4883]
ref_mOTU_v2_2391,Hydrocarboniphaga effusa [ref_mOTU_v2_2391]
ref_mOTU_v2_0202,Hydrogenedentes sp. [ref_mOTU_v2_0202]
ref_mOTU_v2_1458,Hydrogenobacter thermophilus [ref_mOTU_v2_1458]
ref_mOTU_v2_1432,Hydrogenobaculum sp. HO [ref_mOTU_v2_1432]
ref_mOTU_v2_4107,Hydrogenobaculum sp. Y04AAS1 [ref_mOTU_v2_4107]
ref_mOTU_v2_1471,Hydrogenophaga sp. PBC [ref_mOTU_v2_1471]
ref_mOTU_v2_0544,Hydrogenovibrio marinus [ref_mOTU_v2_0544]
ref_mOTU_v2_3494,Hylemonella gracilis [ref_mOTU_v2_3494]
ref_mOTU_v2_5100,Hylemonella gracilis [ref_mOTU_v2_5100]
ref_mOTU_v2_2010,Hymenobacter aerophilus [ref_mOTU_v2_2010]
ref_mOTU_v2_2011,Hymenobacter norwichensis [ref_mOTU_v2_2011]
ref_mOTU_v2_3137,Hymenobacter sp. APR13 [ref_mOTU_v2_3137]
ref_mOTU_v2_3609,Hymenobacter sp. IS2118 [ref_mOTU_v2_3609]
ref_mOTU_v2_2645,Hymenobacter swuensis [ref_mOTU_v2_2645]
ref_mOTU_v2_4220,Hyperthermus butylicus [ref_mOTU_v2_4220]
ref_mOTU_v2_4565,Hyphomicrobium denitrificans [ref_mOTU_v2_4565]
ref_mOTU_v2_4754,Hyphomicrobium denitrificans [ref_mOTU_v2_4754]
ref_mOTU_v2_1584,Hyphomicrobium nitrativorans [ref_mOTU_v2_1584]
ref_mOTU_v2_0403,Hyphomicrobium sp. [ref_mOTU_v2_0403]
ref_mOTU_v2_2831,Hyphomicrobium zavarzinii [ref_mOTU_v2_2831]
ref_mOTU_v2_2900,Hyphomonas adhaerens [ref_mOTU_v2_2900]
ref_mOTU_v2_2899,Hyphomonas atlantica [ref_mOTU_v2_2899]
ref_mOTU_v2_2897,Hyphomonas beringensis [ref_mOTU_v2_2897]
ref_mOTU_v2_2898,Hyphomonas chukchiensis [ref_mOTU_v2_2898]
ref_mOTU_v2_2902,Hyphomonas jannaschiana [ref_mOTU_v2_2902]
ref_mOTU_v2_2901,Hyphomonas johnsonii [ref_mOTU_v2_2901]
ref_mOTU_v2_0983,Hyphomonas neptunium [ref_mOTU_v2_0983]
ref_mOTU_v2_2903,Hyphomonas oceanitis [ref_mOTU_v2_2903]
ref_mOTU_v2_2904,Hyphomonas polymorpha [ref_mOTU_v2_2904]
ref_mOTU_v2_2896,Hyphomonas sp. CY54-11-8 [ref_mOTU_v2_2896]
ref_mOTU_v2_2533,Hyphomonas sp. L-53-1-40 [ref_mOTU_v2_2533]
ref_mOTU_v2_2895,Hyphomonas sp. T16B2 [ref_mOTU_v2_2895]
ref_mOTU_v2_3620,Idiomarina atlantica [ref_mOTU_v2_3620]
ref_mOTU_v2_3956,Idiomarina baltica [ref_mOTU_v2_3956]
ref_mOTU_v2_0939,Idiomarina loihiensis [ref_mOTU_v2_0939]
ref_mOTU_v2_4240,Idiomarina salinarum [ref_mOTU_v2_4240]
ref_mOTU_v2_1619,Idiomarina sp. A28L [ref_mOTU_v2_1619]
ref_mOTU_v2_4876,Idiomarina xiamenensis [ref_mOTU_v2_4876]
ref_mOTU_v2_1793,Ignatzschineria larvae [ref_mOTU_v2_1793]
ref_mOTU_v2_5249,Ignavibacterium album [ref_mOTU_v2_5249]
ref_mOTU_v2_4283,Ignicoccus hospitalis [ref_mOTU_v2_4283]
ref_mOTU_v2_4568,Ignisphaera aggregans [ref_mOTU_v2_4568]
ref_mOTU_v2_3023,Ilumatobacter coccineus [ref_mOTU_v2_3023]
ref_mOTU_v2_4533,Ilyobacter polytropus [ref_mOTU_v2_4533]
ref_mOTU_v2_5250,Imtechella halotolerans [ref_mOTU_v2_5250]
ref_mOTU_v2_2453,Indibacter alkaliphilus [ref_mOTU_v2_2453]
ref_mOTU_v2_4268,Intestinibacter bartlettii [ref_mOTU_v2_4268]
ref_mOTU_v2_2968,Intestinimonas butyriciproducens [ref_mOTU_v2_2968]
ref_mOTU_v2_3169,Intrasporangiaceae sp. [ref_mOTU_v2_3169]
ref_mOTU_v2_4853,Intrasporangium calvum [ref_mOTU_v2_4853]
ref_mOTU_v2_3212,Intrasporangium oryzae [ref_mOTU_v2_3212]
ref_mOTU_v2_4890,Isoptericola variabilis [ref_mOTU_v2_4890]
ref_mOTU_v2_4550,Isosphaera pallida [ref_mOTU_v2_4550]
ref_mOTU_v2_2478,Italian clover phyllody phytoplasma [ref_mOTU_v2_2478]
ref_mOTU_v2_2547,Janibacter hoylei [ref_mOTU_v2_2547]
ref_mOTU_v2_3933,Janibacter sp. HTCC2649 [ref_mOTU_v2_3933]
ref_mOTU_v2_3900,Jannaschia sp. CCS1 [ref_mOTU_v2_3900]
ref_mOTU_v2_3122,Janthinobacterium agaricidamnosum [ref_mOTU_v2_3122]
ref_mOTU_v2_1333,Janthinobacterium lividum [ref_mOTU_v2_1333]
ref_mOTU_v2_1798,Janthinobacterium lividum [ref_mOTU_v2_1798]
ref_mOTU_v2_2487,Janthinobacterium sp. HH01 [ref_mOTU_v2_2487]
ref_mOTU_v2_4096,Janthinobacterium sp. Marseille [ref_mOTU_v2_4096]
ref_mOTU_v2_1414,Jejuia pallidilutea [ref_mOTU_v2_1414]
ref_mOTU_v2_2012,Jeotgalicoccus marinus [ref_mOTU_v2_2012]
ref_mOTU_v2_2013,Jeotgalicoccus psychrophilus [ref_mOTU_v2_2013]
ref_mOTU_v2_3504,Jeotgalicoccus sp. 13MG44_air [ref_mOTU_v2_3504]
ref_mOTU_v2_5278,Jiangella gansuensis [ref_mOTU_v2_5278]
ref_mOTU_v2_4775,Johnsonella ignava [ref_mOTU_v2_4775]
ref_mOTU_v2_4320,Jonesia denitrificans [ref_mOTU_v2_4320]
ref_mOTU_v2_2014,Jonesia quinghaiensis [ref_mOTU_v2_2014]
ref_mOTU_v2_0393,Jonquetella anthropi [ref_mOTU_v2_0393]
ref_mOTU_v2_5159,Joostella marina [ref_mOTU_v2_5159]
ref_mOTU_v2_2015,Kaistia granuli [ref_mOTU_v2_2015]
ref_mOTU_v2_1823,Kallipyga massiliensis [ref_mOTU_v2_1823]
ref_mOTU_v2_4189,Kamptonema formosum [ref_mOTU_v2_4189]
ref_mOTU_v2_0001,Kandleria vitulina [ref_mOTU_v2_0001]
ref_mOTU_v2_2016,Kangiella aquimarina [ref_mOTU_v2_2016]
ref_mOTU_v2_4411,Kangiella koreensis [ref_mOTU_v2_4411]
ref_mOTU_v2_1500,Ketogulonicigenium vulgare [ref_mOTU_v2_1500]
ref_mOTU_v2_2017,Kiloniella laminariae [ref_mOTU_v2_2017]
ref_mOTU_v2_3856,Kineococcus radiotolerans [ref_mOTU_v2_3856]
ref_mOTU_v2_2437,Kineosphaera limosa [ref_mOTU_v2_2437]
ref_mOTU_v2_3012,Kineosporia aurantiaca [ref_mOTU_v2_3012]
ref_mOTU_v2_0791,Kinetoplastibacterium blastocrithidii [ref_mOTU_v2_0791]
ref_mOTU_v2_5113,Kingella denitrificans [ref_mOTU_v2_5113]
ref_mOTU_v2_0638,Kingella kingae [ref_mOTU_v2_0638]
ref_mOTU_v2_4641,Kingella oralis [ref_mOTU_v2_4641]
ref_mOTU_v2_3629,Kingella sp. Sch538 [ref_mOTU_v2_3629]
ref_mOTU_v2_3459,Kitasatospora azatica [ref_mOTU_v2_3459]
ref_mOTU_v2_3460,Kitasatospora mediocidica [ref_mOTU_v2_3460]
ref_mOTU_v2_1293,Kitasatospora phosalacinea/setae [ref_mOTU_v2_1293]
ref_mOTU_v2_0079,Klebsiella michiganensis/oxytoca [ref_mOTU_v2_0079]
ref_mOTU_v2_0160,Klebsiella sp. [ref_mOTU_v2_0160]
ref_mOTU_v2_1564,Kluyvera ascorbata [ref_mOTU_v2_1564]
ref_mOTU_v2_3208,Knoellia aerolata [ref_mOTU_v2_3208]
ref_mOTU_v2_3207,Knoellia flava [ref_mOTU_v2_3207]
ref_mOTU_v2_3209,Knoellia sinensis [ref_mOTU_v2_3209]
ref_mOTU_v2_3210,Knoellia subterranea [ref_mOTU_v2_3210]
ref_mOTU_v2_2421,Kocuria atrinae [ref_mOTU_v2_2421]
ref_mOTU_v2_3790,Kocuria marina [ref_mOTU_v2_3790]
ref_mOTU_v2_0913,Kocuria palustris [ref_mOTU_v2_0913]
ref_mOTU_v2_1004,Kocuria polaris [ref_mOTU_v2_1004]
ref_mOTU_v2_1586,Kocuria rhizophila [ref_mOTU_v2_1586]
ref_mOTU_v2_4103,Kocuria rhizophila [ref_mOTU_v2_4103]
ref_mOTU_v2_1538,Komagataeibacter europaeus [ref_mOTU_v2_1538]
ref_mOTU_v2_4861,Komagataeibacter hansenii [ref_mOTU_v2_4861]
ref_mOTU_v2_1462,Komagataeibacter medellinensis [ref_mOTU_v2_1462]
ref_mOTU_v2_5234,Komagataeibacter oboediens [ref_mOTU_v2_5234]
ref_mOTU_v2_2962,Komagataeibacter xylinus [ref_mOTU_v2_2962]
ref_mOTU_v2_4136,Kordia algicida [ref_mOTU_v2_4136]
ref_mOTU_v2_0497,Kordiimonas gwangyangensis [ref_mOTU_v2_0497]
ref_mOTU_v2_0719,Kosakonia radicincitans [ref_mOTU_v2_0719]
ref_mOTU_v2_0696,Kosakonia sacchari [ref_mOTU_v2_0696]
ref_mOTU_v2_4403,Kosmotoga olearia [ref_mOTU_v2_4403]
ref_mOTU_v2_3641,Kozakia baliensis [ref_mOTU_v2_3641]
ref_mOTU_v2_2018,Kribbella catacumbae [ref_mOTU_v2_2018]
ref_mOTU_v2_4338,Kribbella flavida [ref_mOTU_v2_4338]
ref_mOTU_v2_4345,Ktedonobacter racemifer [ref_mOTU_v2_4345]
ref_mOTU_v2_3068,Kurthia huakuii [ref_mOTU_v2_3068]
ref_mOTU_v2_1600,Kurthia massiliensis [ref_mOTU_v2_1600]
ref_mOTU_v2_1599,Kurthia sp. Dielmo [ref_mOTU_v2_1599]
ref_mOTU_v2_1601,Kurthia sp. JC8E [ref_mOTU_v2_1601]
ref_mOTU_v2_2019,Kushneria aurantia [ref_mOTU_v2_2019]
ref_mOTU_v2_3466,Kutzneria albida [ref_mOTU_v2_3466]
ref_mOTU_v2_4047,Kutzneria sp. 744 [ref_mOTU_v2_4047]
ref_mOTU_v2_4511,Kyrpidia tusciae [ref_mOTU_v2_4511]
ref_mOTU_v2_4333,Kytococcus sedentarius [ref_mOTU_v2_4333]
ref_mOTU_v2_4119,Labrenzia aggregata [ref_mOTU_v2_4119]
ref_mOTU_v2_3824,Labrenzia alexandrii [ref_mOTU_v2_3824]
ref_mOTU_v2_1131,Labrenzia sp. C1B10 [ref_mOTU_v2_1131]
ref_mOTU_v2_4782,Labrenzia sp. DG1229 [ref_mOTU_v2_4782]
ref_mOTU_v2_3088,Laceyella sacchari [ref_mOTU_v2_3088]
ref_mOTU_v2_0361,Lachnoanaerobaculum saburreum [ref_mOTU_v2_0361]
ref_mOTU_v2_1537,Lachnoanaerobaculum sp. [ref_mOTU_v2_1537]
ref_mOTU_v2_1139,Lachnobacterium bovis [ref_mOTU_v2_1139]
ref_mOTU_v2_1207,Lachnoclostridium phytofermentans [ref_mOTU_v2_1207]
ref_mOTU_v2_4068,Lachnoclostridium phytofermentans [ref_mOTU_v2_4068]
ref_mOTU_v2_1160,Lachnospira multipara [ref_mOTU_v2_1160]
ref_mOTU_v2_2911,Lachnospira multipara [ref_mOTU_v2_2911]
ref_mOTU_v2_2711,Lachnospiraceae bacterium 10-1 [ref_mOTU_v2_2711]
ref_mOTU_v2_4723,Lachnospiraceae bacterium 1_4_56FAA [ref_mOTU_v2_4723]
ref_mOTU_v2_4171,Lachnospiraceae bacterium 28-4 [ref_mOTU_v2_4171]
ref_mOTU_v2_4878,Lachnospiraceae bacterium 2_1_46FAA [ref_mOTU_v2_4878]
ref_mOTU_v2_4172,Lachnospiraceae bacterium 3-1 [ref_mOTU_v2_4172]
ref_mOTU_v2_2710,Lachnospiraceae bacterium 3-2 [ref_mOTU_v2_2710]
ref_mOTU_v2_0887,Lachnospiraceae bacterium 3_1_57FAA_CT1 [ref_mOTU_v2_0887]
ref_mOTU_v2_4173,Lachnospiraceae bacterium A2 [ref_mOTU_v2_4173]
ref_mOTU_v2_4174,Lachnospiraceae bacterium A4 [ref_mOTU_v2_4174]
ref_mOTU_v2_3290,Lachnospiraceae bacterium AB2028 [ref_mOTU_v2_3290]
ref_mOTU_v2_3291,Lachnospiraceae bacterium AC2028 [ref_mOTU_v2_3291]
ref_mOTU_v2_3498,Lachnospiraceae bacterium AC2029 [ref_mOTU_v2_3498]
ref_mOTU_v2_3225,Lachnospiraceae bacterium AC2031 [ref_mOTU_v2_3225]
ref_mOTU_v2_3292,Lachnospiraceae bacterium AC3007 [ref_mOTU_v2_3292]
ref_mOTU_v2_3326,Lachnospiraceae bacterium C6A11 [ref_mOTU_v2_3326]
ref_mOTU_v2_2705,Lachnospiraceae bacterium COE1 [ref_mOTU_v2_2705]
ref_mOTU_v2_3327,Lachnospiraceae bacterium FE2018 [ref_mOTU_v2_3327]
ref_mOTU_v2_2371,Lachnospiraceae bacterium JC7 [ref_mOTU_v2_2371]
ref_mOTU_v2_2704,Lachnospiraceae bacterium M18-1 [ref_mOTU_v2_2704]
ref_mOTU_v2_3293,Lachnospiraceae bacterium MA2020 [ref_mOTU_v2_3293]
ref_mOTU_v2_3294,Lachnospiraceae bacterium MC2017 [ref_mOTU_v2_3294]
ref_mOTU_v2_3328,Lachnospiraceae bacterium NC2004 [ref_mOTU_v2_3328]
ref_mOTU_v2_3329,Lachnospiraceae bacterium ND2006 [ref_mOTU_v2_3329]
ref_mOTU_v2_5062,Lachnospiraceae bacterium NK4A144 [ref_mOTU_v2_5062]
ref_mOTU_v2_5063,Lachnospiraceae bacterium NK4A179 [ref_mOTU_v2_5063]
ref_mOTU_v2_3330,Lachnospiraceae bacterium P6A3 [ref_mOTU_v2_3330]
ref_mOTU_v2_3331,Lachnospiraceae bacterium P6B14 [ref_mOTU_v2_3331]
ref_mOTU_v2_3332,Lachnospiraceae bacterium V9D3004 [ref_mOTU_v2_3332]
ref_mOTU_v2_3333,Lachnospiraceae bacterium YSB2008 [ref_mOTU_v2_3333]
ref_mOTU_v2_5014,Lachnospiraceae bacterium oral taxon 082 [ref_mOTU_v2_5014]
ref_mOTU_v2_4552,Lachnospiraceae bacterium oral taxon 500 [ref_mOTU_v2_4552]
ref_mOTU_v2_1124,Lachnospiraceae sp. [ref_mOTU_v2_1124]
ref_mOTU_v2_1155,Lachnospiraceae sp. [ref_mOTU_v2_1155]
ref_mOTU_v2_3535,Lacinutrix jangbogonensis [ref_mOTU_v2_3535]
ref_mOTU_v2_5268,Lacinutrix sp. 5H-3-7-4 [ref_mOTU_v2_5268]
ref_mOTU_v2_2020,Lacticigenium naphtae [ref_mOTU_v2_2020]
ref_mOTU_v2_0862,Lactobacillus acidophilus [ref_mOTU_v2_0862]
ref_mOTU_v2_1171,Lactobacillus acidophilus/amylovorus [ref_mOTU_v2_1171]
ref_mOTU_v2_4578,Lactobacillus amylolyticus [ref_mOTU_v2_4578]
ref_mOTU_v2_1278,Lactobacillus animalis [ref_mOTU_v2_1278]
ref_mOTU_v2_4424,Lactobacillus antri [ref_mOTU_v2_4424]
ref_mOTU_v2_3378,Lactobacillus apodemi [ref_mOTU_v2_3378]
ref_mOTU_v2_0013,Lactobacillus brevis [ref_mOTU_v2_0013]
ref_mOTU_v2_0272,Lactobacillus buchneri [ref_mOTU_v2_0272]
ref_mOTU_v2_0226,Lactobacillus casei/paracasei [ref_mOTU_v2_0226]
ref_mOTU_v2_1169,Lactobacillus casei/zeae [ref_mOTU_v2_1169]
ref_mOTU_v2_2021,Lactobacillus ceti [ref_mOTU_v2_2021]
ref_mOTU_v2_4553,Lactobacillus coleohominis [ref_mOTU_v2_4553]
ref_mOTU_v2_3379,Lactobacillus composti [ref_mOTU_v2_3379]
ref_mOTU_v2_0726,Lactobacillus coryniformis [ref_mOTU_v2_0726]
ref_mOTU_v2_1063,Lactobacillus crispatus [ref_mOTU_v2_1063]
ref_mOTU_v2_2285,Lactobacillus curieae [ref_mOTU_v2_2285]
ref_mOTU_v2_1698,Lactobacillus curvatus [ref_mOTU_v2_1698]
ref_mOTU_v2_0181,Lactobacillus delbrueckii [ref_mOTU_v2_0181]
ref_mOTU_v2_1123,Lactobacillus equi [ref_mOTU_v2_1123]
ref_mOTU_v2_2952,Lactobacillus equicursoris [ref_mOTU_v2_2952]
ref_mOTU_v2_3257,Lactobacillus fabifermentans [ref_mOTU_v2_3257]
ref_mOTU_v2_5207,Lactobacillus farciminis [ref_mOTU_v2_5207]
ref_mOTU_v2_3380,Lactobacillus farraginis [ref_mOTU_v2_3380]
ref_mOTU_v2_1050,Lactobacillus fermentum [ref_mOTU_v2_1050]
ref_mOTU_v2_0847,Lactobacillus florum [ref_mOTU_v2_0847]
ref_mOTU_v2_5236,Lactobacillus fructivorans [ref_mOTU_v2_5236]
ref_mOTU_v2_3381,Lactobacillus fuchuensis [ref_mOTU_v2_3381]
ref_mOTU_v2_3382,Lactobacillus gallinarum [ref_mOTU_v2_3382]
ref_mOTU_v2_0725,Lactobacillus gasseri [ref_mOTU_v2_0725]
ref_mOTU_v2_2294,Lactobacillus gastricus [ref_mOTU_v2_2294]
ref_mOTU_v2_3383,Lactobacillus gigeriorum [ref_mOTU_v2_3383]
ref_mOTU_v2_3384,Lactobacillus hamsteri [ref_mOTU_v2_3384]
ref_mOTU_v2_2022,Lactobacillus harbinensis [ref_mOTU_v2_2022]
ref_mOTU_v2_3385,Lactobacillus hayakitensis [ref_mOTU_v2_3385]
ref_mOTU_v2_0861,Lactobacillus helveticus [ref_mOTU_v2_0861]
ref_mOTU_v2_3386,Lactobacillus hominis [ref_mOTU_v2_3386]
ref_mOTU_v2_1424,Lactobacillus iners [ref_mOTU_v2_1424]
ref_mOTU_v2_2503,Lactobacillus ingluviei [ref_mOTU_v2_2503]
ref_mOTU_v2_1111,Lactobacillus jensenii [ref_mOTU_v2_1111]
ref_mOTU_v2_1425,Lactobacillus jensenii [ref_mOTU_v2_1425]
ref_mOTU_v2_1143,Lactobacillus johnsonii [ref_mOTU_v2_1143]
ref_mOTU_v2_0136,Lactobacillus kefiranofaciens [ref_mOTU_v2_0136]
ref_mOTU_v2_4986,Lactobacillus kisonensis [ref_mOTU_v2_4986]
ref_mOTU_v2_1172,Lactobacillus kitasatonis [ref_mOTU_v2_1172]
ref_mOTU_v2_1167,Lactobacillus kunkeei [ref_mOTU_v2_1167]
ref_mOTU_v2_2023,Lactobacillus malefermentans [ref_mOTU_v2_2023]
ref_mOTU_v2_0196,Lactobacillus mali [ref_mOTU_v2_0196]
ref_mOTU_v2_0568,Lactobacillus mucosae [ref_mOTU_v2_0568]
ref_mOTU_v2_2712,Lactobacillus murinus [ref_mOTU_v2_2712]
ref_mOTU_v2_2991,Lactobacillus namurensis [ref_mOTU_v2_2991]
ref_mOTU_v2_3387,Lactobacillus nodensis [ref_mOTU_v2_3387]
ref_mOTU_v2_1528,Lactobacillus oris [ref_mOTU_v2_1528]
ref_mOTU_v2_2945,Lactobacillus oryzae [ref_mOTU_v2_2945]
ref_mOTU_v2_3388,Lactobacillus otakiensis [ref_mOTU_v2_3388]
ref_mOTU_v2_2830,Lactobacillus parabrevis [ref_mOTU_v2_2830]
ref_mOTU_v2_4985,Lactobacillus parafarraginis [ref_mOTU_v2_4985]
ref_mOTU_v2_2024,Lactobacillus paralimentarius [ref_mOTU_v2_2024]
ref_mOTU_v2_1103,Lactobacillus paraplantarum/plantarum [ref_mOTU_v2_1103]
ref_mOTU_v2_3389,Lactobacillus pasteurii [ref_mOTU_v2_3389]
ref_mOTU_v2_0589,Lactobacillus pentosus/plantarum [ref_mOTU_v2_0589]
ref_mOTU_v2_0154,Lactobacillus plantarum [ref_mOTU_v2_0154]
ref_mOTU_v2_2753,Lactobacillus pobuzihii [ref_mOTU_v2_2753]
ref_mOTU_v2_2025,Lactobacillus psittaci [ref_mOTU_v2_2025]
ref_mOTU_v2_1076,Lactobacillus reuteri [ref_mOTU_v2_1076]
ref_mOTU_v2_0048,Lactobacillus rhamnosus [ref_mOTU_v2_0048]
